accession,title,database,omicsType,organism,sampleCount,pubDate,downloadUrl,relevanceScore,notes,foundByTerm
GSE314390,NAD⁺ Augmentation by Nicotinamide Riboside Engages SLIT2/ROBO1 Signaling to Attenuate Th17 Inflammation in Psoriasis,GEO,Proteomics,Homo sapiens,23,2026/04/03,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314390,95,,psoriasis RNA seq skin
GSE268738,S1PR3 modulates the hyper-proliferation of keratinocytes in psoriasis by activating STAT3 in PKA/Src dependent manner,GEO,RNA-seq,Homo sapiens,6,2025/12/31,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268738,95,,psoriasis RNA seq skin
GSE305364,Activation of FXR regulates oxidative stress responses in human keratinocytes.,GEO,RNA-seq,Homo sapiens,9,2026/01/26,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305364,90,,psoriasis RNA seq skin
GSE278330,Systemic IL-23 blockade downregulates IL-23 receptor-expressing Type 17 T-cell subsets and upregulates regulatory gene expression in myeloid cells in human psoriasis skin,GEO,scRNA-seq,Homo sapiens,63,2025/02/18,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278330,90,,psoriasis scRNA seq skin cells
GSE220586,IL-17 mediated downregulation of miR-101 facilitates expression of EZH2 to promote epidermal hyperplasia in psoriasis,GEO,Methylation,Homo sapiens; synthetic construct,8,2023/09/19,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220586,90,,epigenetic analysis of psoriasis
GSE290870,Assessing T-Cell Profile Shifts via IL-23 Inhibition by Guselkumab on Psoriasis.,GEO,Proteomics,Homo sapiens,72,2025/09/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290870,85,,psoriasis RNA seq skin
GSE301804,Rare ADAR1 loss-of-function variants alter RNA editing and drive interferon-dependent inflammation in psoriasis,GEO,scRNA-seq,Homo sapiens,19,2026/04/20,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301804,85,,psoriasis scRNA seq skin cells
GSE244679,Whole Transcriptome Profiling of Lesional Psoriatic and Adjacent Normal Skin Tissues,GEO,RNA-seq,Homo sapiens,48,2026/03/12,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244679,80,,psoriasis RNA seq skin
GSE302456,Single-cell RNA Sequencing Reveals Trem2⁺ Macrophages Enriched in the Scalp Induce Tc17 Cell Activation to Promote Psoriatic Inflammation,GEO,scRNA-seq,Homo sapiens,11,2025/07/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302456,80,,psoriasis scRNA seq skin cells
GSE236694,"DNA methylation patterns in CD4+ T cells separate psoriasis patients from healthy controls, and skin psoriasis from psoriatic arthritis I",GEO,Methylation,Homo sapiens,26,2023/09/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236694,80,,epigenetic analysis of psoriasis
GSE236695,"DNA methylation patterns in CD4+ T cells separate psoriasis patients from healthy controls, and skin psoriasis from psoriatic arthritis II",GEO,Methylation,Homo sapiens,22,2023/09/14,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236695,80,,epigenetic analysis of psoriasis
GSE293996,"Transcriptome analysis of Generalized Pustular Psoriasis (GPP) versus Palmoplantar Pustular Psoriasis (PPP) uncovers raised potential markers of severity, atopy and anxiety in GPP",GEO,RNA-seq,Homo sapiens,12,2025/05/01,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE293996,75,,psoriasis RNA seq skin
GSE274449,Serotonin 2A Receptor Attenuates Psoriatic Inflammation by Suppressing IL-23 Secretion in Monocyte-derived Langerhans cells,GEO,RNA-seq,Homo sapiens,12,2025/07/23,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274449,70,,psoriasis RNA seq skin
GSE216914,Single cell analysis reveals multiple subsets of CD8+ TRM and non-TRM cells with a type 17 signature in the inflamed psoriatic arthritis joint,GEO,Other,Homo sapiens,12,2023/05/17,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216914,70,,single cell analysis of psoriasis
GSE31835,Global methylation analysis of psoriatic (involved and uninvolved) and control skin,GEO,Methylation,Homo sapiens,37,2011/11/11,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31835,70,,epigenetic analysis of psoriasis
